filename,split,damage,damage_quartile,cv_fold_4,cv_fold_5,file_path
train49.csv,train,0.476568618,Q4,2,3,problem_statements/PS3/02_Datasets/SHM/Train/train49.csv
train50.csv,train,0.040152677,Q1,3,4,problem_statements/PS3/02_Datasets/SHM/Train/train50.csv
train51.csv,train,0.131487919,Q3,3,3,problem_statements/PS3/02_Datasets/SHM/Train/train51.csv
train52.csv,train,0.616000631,Q4,1,2,problem_statements/PS3/02_Datasets/SHM/Train/train52.csv
train53.csv,train,0.043912869,Q1,3,4,problem_statements/PS3/02_Datasets/SHM/Train/train53.csv
train54.csv,val,0.832608215,Q4,0,0,problem_statements/PS3/02_Datasets/SHM/Train/train54.csv
train55.csv,train,0.055313708,Q2,2,2,problem_statements/PS3/02_Datasets/SHM/Train/train55.csv
train56.csv,val,0.0400505,Q1,0,1,problem_statements/PS3/02_Datasets/SHM/Train/train56.csv
train57.csv,train,0.728839308,Q4,1,1,problem_statements/PS3/02_Datasets/SHM/Train/train57.csv
train58.csv,val,0.031759612,Q1,0,0,problem_statements/PS3/02_Datasets/SHM/Train/train58.csv
train59.csv,train,0.09153768,Q2,3,4,problem_statements/PS3/02_Datasets/SHM/Train/train59.csv
train60.csv,train,0.038279074,Q1,1,2,problem_statements/PS3/02_Datasets/SHM/Train/train60.csv
train61.csv,val,0.103184684,Q3,0,0,problem_statements/PS3/02_Datasets/SHM/Train/train61.csv
train62.csv,train,0.046122257,Q2,2,3,problem_statements/PS3/02_Datasets/SHM/Train/train62.csv
train63.csv,train,0.03208265,Q1,2,2,problem_statements/PS3/02_Datasets/SHM/Train/train63.csv
train64.csv,train,0.280285955,Q3,1,1,problem_statements/PS3/02_Datasets/SHM/Train/train64.csv
test01.csv,test,,,-1,-1,problem_statements/PS3/02_Datasets/SHM/Test/test01.csv
test02.csv,test,,,-1,-1,problem_statements/PS3/02_Datasets/SHM/Test/test02.csv
test03.csv,test,,,-1,-1,problem_statements/PS3/02_Datasets/SHM/Test/test03.csv
test04.csv,test,,,-1,-1,problem_statements/PS3/02_Datasets/SHM/Test/test04.csv
test05.csv,test,,,-1,-1,problem_statements/PS3/02_Datasets/SHM/Test/test05.csv
test06.csv,test,,,-1,-1,problem_statements/PS3/02_Datasets/SHM/Test/test06.csv
test07.csv,test,,,-1,-1,problem_statements/PS3/02_Datasets/SHM/Test/test07.csv
test08.csv,test,,,-1,-1,problem_statements/PS3/02_Datasets/SHM/Test/test08.csv
test09.csv,test,,,-1,-1,problem_statements/PS3/02_Datasets/SHM/Test/test09.csv
test10.csv,test,,,-1,-1,problem_statements/PS3/02_Datasets/SHM/Test/test10.csv
test11.csv,test,,,-1,-1,problem_statements/PS3/02_Datasets/SHM/Test/test11.csv
test12.csv,test,,,-1,-1,problem_statements/PS3/02_Datasets/SHM/Test/test12.csv
test13.csv,test,,,-1,-1,problem_statements/PS3/02_Datasets/SHM/Test/test13.csv
test14.csv,test,,,-1,-1,problem_statements/PS3/02_Datasets/SHM/Test/test14.csv
test15.csv,test,,,-1,-1,problem_statements/PS3/02_Datasets/SHM/Test/test15.csv
test16.csv,test,,,-1,-1,problem_statements/PS3/02_Datasets/SHM/Test/test16.csv
